return_code,payload,latency,throughput
200,"{""signature"":""0x80d11843dde8ec4047e1684a92e2ffec646c2182bb6cbad6c7ae74faacd61a6bd6946f7b69cb52775fd7a44c6060e2e50c3af4f373b9f284fbd31579646d248ab6dec35ca6d360c2a14e6b6813466bcff6ac0cec38500beba81eb6cc717e58f8""}",0.29335588900005405,3000
200,"{""signature"":""0xa36905a76a04bce0f59368993ce4941a278d6aa8c5d874785dd05704ce409529c0f0bf86d8b82a278fb76abc3471ccc90ffafb7f26df4f7aa4d6eb66ed509465046f0a4db8440b32c357ea7b33e6bf7e62800839b7612a0751ad4cab728300f6""}",0.29353975599997284,3000
200,"{""signature"":""0xafe1d351e9c3b1b98b07874781e43115b38cc9d95aaf00705d9264095e890c95351b798ea4e1383f65c978311b2f23b01578f519a180171f6d7c052709217ae30ac13854650eb423c9c42ce64ae1114dd906c59518c1ce5b606633f0300aec4d""}",0.3009440580000273,3000
200,"{""signature"":""0x83ae85d085cd96c0e8cb988c610acaf180467810c4f31302b8b9167a97b4c4b7624c45d65b0a3a03ce8adb7de42f22390d23e7330224e98d4995701d010c37bf1af0f53605a1e105c0ceb09dc68b20a02e58567f513a18e15ecbf4452a7ba36d""}",0.28753762600001664,3000
200,"{""signature"":""0x960fc550065decc86901f18754fe1cd264f5b87724a654c08cfe9e6bcf43b8b3becba5d04d014ab3169cd93163175c3b07b1a66910af674e0e807e4009da888bfa56a4d4a5ce3b9b1653f348146828ebd93858f5059cf1d0e8caaf9783800eac""}",0.2878395420000288,3000
200,"{""signature"":""0x8f78684d2d0fc6325d094264bb76805fa4bb1ff92b079a7757b2d9b9ace9a96ca9fde615d21cf100251c89930e661b480320c2d834e96a20057b76eb0f70a8a8d607e73baa45746bc12b09ad6f5198eba75f4825d878c817e0d69a44ee0448e5""}",0.28593032699996,3000
200,"{""signature"":""0xaab5683334b659d295a1055dd889a3561097e88ef724e20580f85957f0fdf95d8ee8531aae834b9281e10d9facf1074404f60efa681a66d4d4df8569803927162b064cab1d1c4fd216e87289e627917e0a997d99742dbd1f645a1dbefd13ac3d""}",0.2911064360000637,3000
200,"{""signature"":""0xadc66b2a51d5c50b13cad11c820f0b3b21d124edcd6eaca4c75b842592c3aa75766ac7aeaefc9f731da7db57604e98e40cda1e46a95ea667281090d0e2333b36ebf56b06652e64864fb22fd650a3ddd6fbfba891b9dd2ed87da6885ce703e125""}",0.2861269859999993,3000
200,"{""signature"":""0x924b45491736ddf533d4b82e976fa17c11142a7e4e3f59c240f8a1882e5684d7592b83834f70d7af1e356a92a33a74af164f3ffafbf5bbc1aa33ae81c3bfb7269af46337ae9163788c777d44513cf0cdc1b4f99200ec613bbc155255616f7ab2""}",0.28596446299991385,3000
200,"{""signature"":""0xa86091b77ae9adc7ae84f61a44efd2482c4f5b584bb8e799e100bc5ed65bb0e41c02f550d26279330c585f96e181a03a0afa8559c54e6896b84a088c0dd5e5f0c6bb075e827c2b55491b7f7d6c73fa0b2c0c0afe54e6c57de51a786132cfd7c5""}",0.27588739400005124,3000
200,"{""signature"":""0x8574da8577b31e979677e729a397f5674b4dfc926ada728dc9f7edd90db3f63ec7d8c3f7c67dddfa1e1e13edd0fae0e706c249a31979abed2369743d4ce6c3451dc2d8b81f9095af6c203db894213802cef377df5fce9ad5ca5215161afcc80b""}",0.2924833509999871,3000
